id,unique_id,nama_hari,waktu_kuliah,durasi_jam
1,SEN1,Senin,07.00 - 07.50,1
2,SEN2,Senin,07.50 - 08.40,1
3,SEN3,Senin,08.45 - 09.35,1
4,SEN4,Senin,09.35 - 10.25,1
5,SEN5,Senin,10.30 - 11.20,1
6,SEN6,Senin,11.20 - 12.10,1
7,SEN7,Senin,12.30 - 13.20,1
8,SEN8,Senin,13.20 - 14.10,1
9,SEN9,Senin,14.15 - 15.05,1
10,SEN10,Senin,15.15 - 16.05,1
11,SEN11,Senin,16.10 - 17.00,1
12,SEN12,Senin,17.00 - 17.50,1
13,SEL1,Selasa,07.00 - 07.50,1
14,SEL2,Selasa,07.50 - 08.40,1
15,SEL3,Selasa,08.45 - 09.35,1
16,SEL4,Selasa,09.35 - 10.25,1
17,SEL5,Selasa,10.30 - 11.20,1
18,SEL6,Selasa,11.20 - 12.10,1
19,SEL7,Selasa,12.30 - 13.20,1
20,SEL8,Selasa,13.20 - 14.10,1
21,SEL9,Selasa,14.15 - 15.05,1
22,SEL10,Selasa,15.15 - 16.05,1
23,SEL11,Selasa,16.10 - 17.00,1
24,SEL12,Selasa,17.00 - 17.50,1
25,RAB1,Rabu,07.00 - 07.50,1
26,RAB2,Rabu,07.50 - 08.40,1
27,RAB3,Rabu,08.45 - 09.35,1
28,RAB4,Rabu,09.35 - 10.25,1
29,RAB5,Rabu,10.30 - 11.20,1
30,RAB6,Rabu,11.20 - 12.10,1
31,RAB7,Rabu,12.30 - 13.20,1
32,RAB8,Rabu,13.20 - 14.10,1
33,RAB9,Rabu,14.15 - 15.05,1
34,RAB10,Rabu,15.15 - 16.05,1
35,RAB11,Rabu,16.10 - 17.00,1
36,RAB12,Rabu,17.00 - 17.50,1
37,KAM1,Kamis,07.00 - 07.50,1
38,KAM2,Kamis,07.50 - 08.40,1
39,KAM3,Kamis,08.45 - 09.35,1
40,KAM4,Kamis,09.35 - 10.25,1
41,KAM5,Kamis,10.30 - 11.20,1
42,KAM6,Kamis,11.20 - 12.10,1
43,KAM7,Kamis,12.30 - 13.20,1
44,KAM8,Kamis,13.20 - 14.10,1
45,KAM9,Kamis,14.15 - 15.05,1
46,KAM10,Kamis,15.15 - 16.05,1
47,KAM11,Kamis,16.10 - 17.00,1
48,KAM12,Kamis,17.00 - 17.50,1
49,JUM1,Jum'at,07.00 - 07.50,1
50,JUM2,Jum'at,07.50 - 08.40,1
51,JUM3,Jum'at,08.45 - 09.35,1
52,JUM4,Jum'at,09.35 - 10.25,1
53,JUM5,Jum'at,10.30 - 11.20,1
54,JUM6,Jum'at,11.20 - 12.10,1
55,JUM7,Jum'at,12.30 - 13.20,1
56,JUM8,Jum'at,13.20 - 14.10,1
57,JUM9,Jum'at,14.15 - 15.05,1
58,JUM10,Jum'at,15.15 - 16.05,1
59,JUM11,Jum'at,16.10 - 17.00,1
60,JUM12,Jum'at,17.00 - 17.50,1
61,SAB1,Sabtu,07.00 - 07.50,1
62,SAB2,Sabtu,07.50 - 08.40,1
63,SAB3,Sabtu,08.45 - 09.35,1
64,SAB4,Sabtu,09.35 - 10.25,1
65,SAB5,Sabtu,10.30 - 11.20,1
66,SAB6,Sabtu,11.20 - 12.10,1
67,SAB7,Sabtu,12.30 - 13.20,1
68,SAB8,Sabtu,13.20 - 14.10,1
69,SAB9,Sabtu,14.15 - 15.05,1
70,SAB10,Sabtu,15.15 - 16.05,1
71,SAB11,Sabtu,16.10 - 17.00,1
72,SAB12,Sabtu,17.00 - 17.50,1
